"parameter","original","ci_lower","ci_upper","ci_median","inside_95","n_success"
"mu1",15.580035777464,9.64002203928705,266.585326716868,19.1081187257173,TRUE,100
"mu2",10.2442518250896,-382.698187708142,11.9043035632371,-5.48777494837939,TRUE,100
"mu3",11.7733775353055,6.50830570495699,35.6819079892065,14.3491470122226,TRUE,100
"sigltil1",Inf,Inf,Inf,Inf,TRUE,100
"sigltil2",1.64450988548459,-5.99290477470324,28.4856767225301,0.402028894512615,TRUE,100
"sigltil3",2.21649300044657,-0.952419253463355,45.3420295463682,1.3315410186911,TRUE,100
"sigrtil1",-0.856332774747709,-9.91841072464133,3.59154237070603,-0.509997718087475,TRUE,100
"sigrtil2",0.878479676742994,-1.18332120525035,11.0649412532876,1.72079533125701,TRUE,100
"sigrtil3",-0.710659934361595,-8.05595107768646,47.0329561588704,1.22024369881979,TRUE,100
"ctil",-2.69544854268978,-61.8345271726917,-2.09086373962513,-3.63928876706841,TRUE,100
"pd",Inf,Inf,Inf,Inf,TRUE,100
"o_par1",-7.4919747796827,-9.64209965497929,8.7951940268677,-1.64653096765357,TRUE,100
"o_par2",-5.08677237517033,-9.32583743762413,5.32103129491439,-1.89264643864932,TRUE,100
"o_par3",4.6432157137826,-9.27482569406541,7.40432395352187,0.0354929680816374,TRUE,100
