method,pct,num_starts,status,tss,model
random,25,50,done,0.4059,T2_T3_P2__bd_pd1_sigL1
random,25,100,done,0.4463,T2_T3_P3__bd_sigL1
random,50,50,done,0.4333,T2_T3_P3__bd_sigR2_sigL3
random,50,100,done,0.4350,T2_T3_P3__bd_pd1_sigR3
random,75,50,done,0.4269,T2_T3_P3__bd_pd1_sigR2
random,75,100,done,0.4269,T2_T3_P3__bd_pd1_sigR2
random,100,50,done,0.4244,T2_T3_P3__bd_sigR1_sigR3
random,100,100,pending,,
centroid,25,50,done,0.5227,T2_T3_P3__bd_pd1_sigL1
centroid,25,100,done,0.5227,T2_T3_P3__bd_pd1_sigR2
centroid,50,50,done,0.5221,T2_T3_P3__bd_pd1_sigR2
centroid,50,100,done,0.5221,T2_T3_P3__bd_pd1_sigL3
centroid,75,50,done,0.5259,T2_T3_P3__bd_pd1_sigR3
centroid,75,100,done,0.5209,T2_T3_P3__bd_sigR2
centroid,100,50,done,0.5209,T2_T3_P3__bd_pd1_sigR1
centroid,100,100,done,0.5209,T2_T3_P3__bd_pd1_sigL1
dataset,25,50,done,0.3160,T2_P1__bd_sigR2
dataset,25,100,done,0.3160,T2_P1__bd_sigL2
dataset,50,50,done,0.3513,T2_T3_P3__bd_pd1_sigR2_sigR3
dataset,50,100,done,0.3513,T2_T3_P3__bd_pd1_sigR2_sigR3
dataset,75,50,done,0.3452,T2_T3_P3__bd_pd1_sigL3
dataset,75,100,done,0.3452,T2_T3_P3__bd_pd1_sigL3
dataset,100,50,done,0.3389,T2_T3_P3__bd_pd1_sigL2
dataset,100,100,pending,,
inverse_density,25,50,done,0.4793,T1_P3__bd_sigL1
inverse_density,25,100,done,0.5135,T2_T3_P3__bd_sigL3
inverse_density,50,50,done,0.5244,T2_T3_P3__bd_sigR1_sigL2
inverse_density,50,100,done,0.5225,T2_T3_P3__bd_sigL2
inverse_density,75,50,done,0.5190,T2_T3_P3__bd_sigL1_sigR2
inverse_density,75,100,pending,,
inverse_density,100,50,done,0.5084,T2_T3_P3__bd_sigL2_sigR3
inverse_density,100,100,pending,,
v7ring,25,50,done,0.7656,T3_P3
v7ring,25,100,done,0.7347,T2_T3_P3__bd_pd1_sigL1
v7ring,50,50,done,0.7764,T2_T3_P3__bd_sigR2
v7ring,50,100,done,0.7764,T2_T3_P3__bd_sigR2
v7ring,75,50,done,0.7845,T2_T3_P3__bd_sigR2
v7ring,75,100,pending,,
v7ring,100,50,done,0.7856,T2_T3_P3__bd_sigL1
v7ring,100,100,pending,,
v6bbox,25,50,done,0.3601,T2_T3_P3__bd_pd1_sigR1_sigL3
v6bbox,25,100,done,0.3601,T2_T3_P3__bd_pd1_sigL1_sigR2
v6bbox,50,50,done,0.3684,T2_T3_P3__bd_pd1_sigL1_sigL3
v6bbox,50,100,pending,,
v6bbox,75,50,pending,,
v6bbox,75,100,pending,,
v6bbox,100,50,pending,,
v6bbox,100,100,pending,,
